PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2020,40,X,1.11117,X,X,X,X,X,X,408,96,36718
States,Alaska,2020,40,X,1.76528,X,X,X,X,X,X,54,13,3059
States,Arizona,2020,40,X,1.025,X,X,X,X,X,X,107,24,10439
States,Arkansas,2020,40,X,1.17096,X,X,X,X,X,X,180,56,15372
States,California,2020,40,X,0.851035,X,X,X,X,X,X,494,113,58047
States,Colorado,2020,40,X,0.821639,X,X,X,X,X,X,226,67,27506
States,Connecticut,2020,40,X,1.09379,X,X,X,X,X,X,407,72,37210
States,Delaware,2020,40,X,0.356234,X,X,X,X,X,X,21,17,5895
States,District of Columbia,2020,40,X,1.10059,X,X,X,X,X,X,100,4,9086
States,Florida,2020,40,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2020,40,X,1.72561,X,X,X,X,X,X,1091,91,63224
States,Hawaii,2020,40,X,0.793167,X,X,X,X,X,X,26,25,3278
States,Idaho,2020,40,X,1.31215,X,X,X,X,X,X,133,35,10136
States,Illinois,2020,40,X,0.823758,X,X,X,X,X,X,590,186,71623
States,Indiana,2020,40,X,1.02714,X,X,X,X,X,X,481,109,46829
States,Iowa,2020,40,X,1.84388,X,X,X,X,X,X,90,16,4881
States,Kansas,2020,40,X,0.960735,X,X,X,X,X,X,115,25,11970
States,Kentucky,2020,40,X,1.20968,X,X,X,X,X,X,183,88,15128
States,Louisiana,2020,40,X,2.57788,X,X,X,X,X,X,878,82,34059
States,Maine,2020,40,X,0.515914,X,X,X,X,X,X,65,42,12599
States,Maryland,2020,40,X,0.842349,X,X,X,X,X,X,334,64,39651
States,Massachusetts,2020,40,X,0.661963,X,X,X,X,X,X,470,100,71001
States,Michigan,2020,40,X,0.292731,X,X,X,X,X,X,59,67,20155
States,Minnesota,2020,40,X,0.697134,X,X,X,X,X,X,207,48,29693
States,Mississippi,2020,40,X,1.49199,X,X,X,X,X,X,164,36,10992
States,Missouri,2020,40,X,1.26397,X,X,X,X,X,X,302,51,23893
States,Montana,2020,40,X,0.997293,X,X,X,X,X,X,70,31,7019
States,Nebraska,2020,40,X,1.14873,X,X,X,X,X,X,114,69,9924
States,Nevada,2020,40,X,0.577082,X,X,X,X,X,X,49,25,8491
States,New Hampshire,2020,40,X,0.694816,X,X,X,X,X,X,13,11,1871
States,New Jersey,2020,40,X,1.45455,X,X,X,X,X,X,360,36,24750
States,New Mexico,2020,40,X,0.946852,X,X,X,X,X,X,168,42,17743
States,New York,2020,40,X,0.881096,X,X,X,X,X,X,406,126,46079
States,North Carolina,2020,40,X,0.870995,X,X,X,X,X,X,747,137,85764
States,North Dakota,2020,40,X,2.49066,X,X,X,X,X,X,60,11,2409
States,Ohio,2020,40,X,0.807486,X,X,X,X,X,X,107,40,13251
States,Oklahoma,2020,40,X,0.721785,X,X,X,X,X,X,44,25,6096
States,Oregon,2020,40,X,1.31025,X,X,X,X,X,X,451,90,34421
States,Pennsylvania,2020,40,X,0.821621,X,X,X,X,X,X,477,125,58056
States,Rhode Island,2020,40,X,0.320671,X,X,X,X,X,X,39,27,12162
States,South Carolina,2020,40,X,1.39891,X,X,X,X,X,X,126,23,9007
States,South Dakota,2020,40,X,0.790378,X,X,X,X,X,X,69,31,8730
States,Tennessee,2020,40,X,1.333,X,X,X,X,X,X,430,74,32258
States,Texas,2020,40,X,1.34739,X,X,X,X,X,X,565,65,41933
States,Utah,2020,40,X,0.729255,X,X,X,X,X,X,190,51,26054
States,Vermont,2020,40,X,0.819441,X,X,X,X,X,X,29,14,3539
States,Virginia,2020,40,X,0.927271,X,X,X,X,X,X,817,162,88108
States,Washington,2020,40,X,0.660884,X,X,X,X,X,X,112,43,16947
States,West Virginia,2020,40,X,1.2624,X,X,X,X,X,X,168,51,13308
States,Wisconsin,2020,40,X,1.0043,X,X,X,X,X,X,166,33,16529
States,Wyoming,2020,40,X,0.86492,X,X,X,X,X,X,34,16,3931
States,Commonwealth of the Northern Mariana Islands,2020,40,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2020,40,X,5.15971,X,X,X,X,X,X,84,7,1628
States,Virgin Islands,2020,40,X,0,X,X,X,X,X,X,0,2,770
States,New York City,2020,40,X,0.930766,X,X,X,X,X,X,739,72,79397
States,Alabama,2020,41,X,1.13246,X,X,X,X,X,X,435,96,38412
States,Alaska,2020,41,X,0.726172,X,X,X,X,X,X,24,13,3305
States,Arizona,2020,41,X,1.01349,X,X,X,X,X,X,160,35,15787
States,Arkansas,2020,41,X,1.08871,X,X,X,X,X,X,189,58,17360
States,California,2020,41,X,1.04308,X,X,X,X,X,X,676,122,64808
States,Colorado,2020,41,X,1.18536,X,X,X,X,X,X,342,66,28852
States,Connecticut,2020,41,X,1.21996,X,X,X,X,X,X,466,73,38198
States,Delaware,2020,41,X,0.274625,X,X,X,X,X,X,15,17,5462
States,District of Columbia,2020,41,X,2.38447,X,X,X,X,X,X,129,4,5410
States,Florida,2020,41,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2020,41,X,1.89854,X,X,X,X,X,X,1226,93,64576
States,Hawaii,2020,41,X,0.771367,X,X,X,X,X,X,25,23,3241
States,Idaho,2020,41,X,1.38889,X,X,X,X,X,X,149,35,10728
States,Illinois,2020,41,X,0.983943,X,X,X,X,X,X,739,192,75106
States,Indiana,2020,41,X,1.09325,X,X,X,X,X,X,544,111,49760
States,Iowa,2020,41,X,2.19569,X,X,X,X,X,X,114,16,5192
States,Kansas,2020,41,X,1.18657,X,X,X,X,X,X,141,26,11883
States,Kentucky,2020,41,X,1.10505,X,X,X,X,X,X,332,90,30044
States,Louisiana,2020,41,X,0.867624,X,X,X,X,X,X,342,105,39418
States,Maine,2020,41,X,0.630762,X,X,X,X,X,X,91,54,14427
States,Maryland,2020,41,X,1.0276,X,X,X,X,X,X,408,65,39704
States,Massachusetts,2020,41,X,0.739848,X,X,X,X,X,X,528,93,71366
States,Michigan,2020,41,X,0.367396,X,X,X,X,X,X,70,65,19053
States,Minnesota,2020,41,X,0.867385,X,X,X,X,X,X,256,48,29514
States,Mississippi,2020,41,X,1.61569,X,X,X,X,X,X,206,37,12750
States,Missouri,2020,41,X,1.29355,X,X,X,X,X,X,346,49,26748
States,Montana,2020,41,X,1.34737,X,X,X,X,X,X,96,31,7125
States,Nebraska,2020,41,X,1.20549,X,X,X,X,X,X,130,70,10784
States,Nevada,2020,41,X,0.647313,X,X,X,X,X,X,33,18,5098
States,New Hampshire,2020,41,X,0.652884,X,X,X,X,X,X,12,11,1838
States,New Jersey,2020,41,X,1.59866,X,X,X,X,X,X,402,36,25146
States,New Mexico,2020,41,X,1.23049,X,X,X,X,X,X,231,42,18773
States,New York,2020,41,X,0.926484,X,X,X,X,X,X,461,127,49758
States,North Carolina,2020,41,X,1.04975,X,X,X,X,X,X,935,140,89069
States,North Dakota,2020,41,X,1.64572,X,X,X,X,X,X,55,12,3342
States,Ohio,2020,41,X,0.71735,X,X,X,X,X,X,97,41,13522
States,Oklahoma,2020,41,X,1.60342,X,X,X,X,X,X,60,12,3742
States,Oregon,2020,41,X,1.48806,X,X,X,X,X,X,536,91,36020
States,Pennsylvania,2020,41,X,0.963748,X,X,X,X,X,X,562,103,58314
States,Rhode Island,2020,41,X,0.608853,X,X,X,X,X,X,74,25,12154
States,South Carolina,2020,41,X,1.46502,X,X,X,X,X,X,151,24,10307
States,South Dakota,2020,41,X,0.562169,X,X,X,X,X,X,51,29,9072
States,Tennessee,2020,41,X,1.39085,X,X,X,X,X,X,453,74,32570
States,Texas,2020,41,X,1.48922,X,X,X,X,X,X,751,81,50429
States,Utah,2020,41,X,1.02162,X,X,X,X,X,X,266,51,26037
States,Vermont,2020,41,X,0.770952,X,X,X,X,X,X,31,15,4021
States,Virginia,2020,41,X,1.10495,X,X,X,X,X,X,977,162,88420
States,Washington,2020,41,X,0.784446,X,X,X,X,X,X,140,44,17847
States,West Virginia,2020,41,X,2.5122,X,X,X,X,X,X,350,50,13932
States,Wisconsin,2020,41,X,1.18047,X,X,X,X,X,X,205,33,17366
States,Wyoming,2020,41,X,0.568855,X,X,X,X,X,X,24,18,4219
States,Commonwealth of the Northern Mariana Islands,2020,41,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2020,41,X,6.23907,X,X,X,X,X,X,107,7,1715
States,Virgin Islands,2020,41,X,0,X,X,X,X,X,X,0,3,973
States,New York City,2020,41,X,0.964173,X,X,X,X,X,X,739,70,76646
States,Alabama,2020,42,X,1.21625,X,X,X,X,X,X,464,96,38150
States,Alaska,2020,42,X,0.832306,X,X,X,X,X,X,27,13,3244
States,Arizona,2020,42,X,0.918876,X,X,X,X,X,X,140,35,15236
States,Arkansas,2020,42,X,0.958681,X,X,X,X,X,X,171,59,17837
States,California,2020,42,X,0.992321,X,X,X,X,X,X,650,125,65503
States,Colorado,2020,42,X,1.05007,X,X,X,X,X,X,298,66,28379
States,Connecticut,2020,42,X,1.26188,X,X,X,X,X,X,470,72,37246
States,Delaware,2020,42,X,0.653975,X,X,X,X,X,X,45,17,6881
States,District of Columbia,2020,42,X,2.42651,X,X,X,X,X,X,123,4,5069
