adm2,"[0, 5)","[5, 10)","[10, 15)","[15, 20)","[20, 25)","[25, 30)","[30, 35)","[35, 40)","[40, 45)","[45, 50)","[50, 55)","[55, 60)","[60, 65)","[65, 70)","[70, 75)","[75, 120)"
60010,2691,2606,2544,2602,1648,1443,1458,1533,1537,1430,1132,816,595,422,278,295
60020,134,118,143,124,84,57,55,57,72,70,57,45,49,34,19,25
60030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60040,1,0,1,3,4,0,0,0,2,0,1,3,2,0,0,0
60050,3785,3811,3591,3568,2154,1825,1993,2014,1991,1887,1488,1193,835,501,356,337
66010,14289,13984,15046,14407,12379,10746,10346,11404,11659,11072,9203,7715,6361,3889,3030,3828
69085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69100,203,227,257,192,84,115,186,247,277,220,203,147,80,41,17,31
69110,4349,4139,4407,3835,2436,2711,3429,4458,5105,4482,3725,2339,1389,634,403,379
69120,275,247,257,223,150,201,283,352,384,307,195,126,75,24,20,17
72001,883,1073,1189,1192,1290,1119,1119,1065,1065,1226,1226,1265,1237,938,938,1354
72003,1683,2229,1978,2552,2689,2378,2378,2403,2403,2790,2790,2804,2907,2010,2010,2636
72005,2409,2793,3525,3754,3620,3251,3251,3390,3390,3450,3450,3367,3610,3186,3186,4530
72007,1128,1381,1827,1826,1786,1635,1635,1687,1687,1740,1740,1852,1610,1340,1340,2057
72009,1137,1468,1195,1333,1727,1460,1460,1310,1310,1602,1602,1670,1743,1276,1276,1886
72011,1136,1257,1820,1850,1899,1614,1614,1762,1762,1951,1951,1823,1693,1536,1536,2162
72013,3975,4373,5174,5890,6145,5241,5241,5431,5431,5928,5928,5239,5479,4916,4916,7933
72015,875,864,1587,1256,1223,1114,1114,1204,1204,1114,1114,987,1204,1000,1000,1248
72017,1264,1294,1608,1680,1731,1567,1567,1710,1710,1553,1553,1076,1559,1273,1273,1879
72019,1677,1910,1817,2204,2311,1982,1982,1654,1654,1911,1911,1741,1853,1214,1214,1719
72021,8186,9364,10149,11869,13099,12418,12418,10955,10955,11674,11674,12050,10954,9391,9391,18405
72023,1957,2512,3071,3253,3203,2675,2675,3208,3208,3383,3383,2872,2938,2919,2919,4827
72025,5835,7105,8298,8851,9130,8241,8241,8527,8527,8809,8809,8615,7606,6766,6766,11234
72027,1423,1694,1965,2195,2317,1916,1916,2077,2077,2256,2256,2165,2003,1802,1802,2356
72029,2368,2778,3032,3243,3279,2820,2820,3197,3197,3330,3330,2487,2930,2159,2159,2977
72031,7087,8234,8963,10450,11238,9611,9611,9987,9987,10426,10426,9804,8802,8794,8794,15238
72033,1251,1726,1295,1738,1755,1665,1665,1435,1435,1528,1528,1850,1543,1220,1220,2031
72035,1950,2830,2168,3041,3078,2756,2756,2746,2746,3037,3037,3013,2852,2467,2467,3585
72037,536,530,805,703,951,707,707,711,711,779,779,517,812,743,743,1118
72039,911,1034,960,1091,1153,1059,1059,933,933,1117,1117,1191,1241,897,897,1317
72041,1981,2316,2501,2798,2821,2582,2582,2589,2589,2803,2803,2832,2679,1998,1998,2468
72043,1799,2244,2735,2562,2373,2440,2440,2716,2716,2702,2702,2741,2607,2021,2021,2444
72045,955,824,1581,1320,1428,1336,1336,1185,1185,1306,1306,1443,1062,956,956,1358
72047,1760,2203,2106,2376,2457,2234,2234,2086,2086,2259,2259,2181,2222,1637,1637,2427
