state,age_grp,wk,total_resp,mild_hes,hes,strong_hes
AL,18-24,22,243685.0,15222.0,15222.0,0.0
AL,18-24,23,318656.0,196534.0,196534.0,9875.0
AL,18-24,24,345025.0,100184.0,100184.0,67148.0
AL,18-24,25,177255.0,40375.0,40375.0,27514.0
AL,18-24,26,272341.0,38964.0,38964.0,3352.0
AL,18-24,27,288143.0,39544.0,39544.0,26004.0
AL,18-24,28,347339.0,155417.0,155417.0,105147.0
AL,18-24,29,340376.0,45014.0,45014.0,31712.0
AL,18-24,30,243271.0,62144.0,62144.0,32022.0
AL,18-24,31,241519.0,38959.0,38959.0,38959.0
AL,18-24,32,170924.0,51131.0,51131.0,40249.0
AL,25-39,22,1072404.0,517156.0,517156.0,210897.0
AL,25-39,23,903285.0,325022.0,325022.0,161578.0
AL,25-39,24,955544.0,308778.0,308778.0,109529.0
AL,25-39,25,1100456.0,503723.0,503723.0,229722.0
AL,25-39,26,836665.0,278039.0,278039.0,129496.0
AL,25-39,27,851841.0,286562.0,286562.0,107098.0
AL,25-39,28,901133.0,219858.0,219858.0,104066.0
AL,25-39,29,809070.0,298469.0,298469.0,199685.0
AL,25-39,30,946440.0,241435.0,241435.0,158199.0
AL,25-39,31,970195.0,191449.0,191449.0,170193.0
AL,25-39,32,951404.0,186523.0,186523.0,132266.0
AL,40-54,22,915819.0,356815.0,356815.0,124819.0
AL,40-54,23,917873.0,246133.0,246133.0,124391.0
AL,40-54,24,909690.0,324507.0,324507.0,201958.0
AL,40-54,25,929743.0,303060.0,303060.0,109365.0
AL,40-54,26,1075271.0,350808.0,350808.0,171615.0
AL,40-54,27,1060937.0,350631.0,350631.0,211814.0
AL,40-54,28,854624.0,186472.0,186472.0,102666.0
AL,40-54,29,1043803.0,236000.0,236000.0,153547.0
AL,40-54,30,867305.0,232544.0,232544.0,133416.0
AL,40-54,31,969672.0,189644.0,189644.0,91064.0
AL,40-54,32,1078118.0,239097.0,239097.0,180137.0
AL,55-64,22,622648.0,162340.0,162340.0,59050.0
AL,55-64,23,682555.0,146797.0,146797.0,65104.0
AL,55-64,24,652812.0,155512.0,155512.0,74819.0
AL,55-64,25,664080.0,94010.0,94010.0,39923.0
AL,55-64,26,701843.0,118066.0,118066.0,72784.0
AL,55-64,27,625695.0,79783.0,79783.0,27658.0
AL,55-64,28,690872.0,65312.0,65312.0,41812.0
AL,55-64,29,695965.0,132869.0,132869.0,58711.0
AL,55-64,30,781532.0,112743.0,112743.0,63239.0
AL,55-64,31,673216.0,90676.0,90676.0,68482.0
AL,55-64,32,624967.0,75288.0,75288.0,51746.0
AL,65+,22,796698.0,114946.0,114946.0,58576.0
AL,65+,23,823086.0,71718.0,71718.0,8869.0
AL,65+,24,848599.0,112007.0,112007.0,39481.0
AL,65+,25,835156.0,95448.0,95448.0,53171.0
AL,65+,26,803369.0,42610.0,42610.0,18609.0
AL,65+,27,845835.0,79001.0,79001.0,38062.0
AL,65+,28,873115.0,107738.0,107738.0,37716.0
AL,65+,29,806034.0,44813.0,44813.0,20513.0
AL,65+,30,883785.0,88060.0,88060.0,47161.0
AL,65+,31,825915.0,67534.0,67534.0,54305.0
AL,65+,32,884282.0,117792.0,117792.0,102442.0
AK,18-24,22,46856.0,12193.0,12193.0,8086.0
AK,18-24,23,48612.0,22003.0,22003.0,11434.0
AK,18-24,24,36009.0,6940.0,6940.0,3831.0
AK,18-24,25,56328.0,13398.0,13398.0,6936.0
AK,18-24,26,49789.0,17904.0,17904.0,5776.0
AK,18-24,27,29911.0,11019.0,11019.0,2103.0
AK,18-24,28,46677.0,11518.0,11518.0,11518.0
AK,18-24,29,62448.0,13349.0,13349.0,10944.0
AK,18-24,30,53705.0,8666.0,8666.0,7522.0
AK,18-24,31,61576.0,29323.0,29323.0,25351.0
AK,18-24,32,45173.0,8934.0,8934.0,4965.0
AK,25-39,22,167896.0,55478.0,55478.0,26550.0
AK,25-39,23,168941.0,42643.0,42643.0,15921.0
AK,25-39,24,172894.0,39072.0,39072.0,20927.0
AK,25-39,25,160554.0,28846.0,28846.0,8180.0
AK,25-39,26,164586.0,38967.0,38967.0,17201.0
AK,25-39,27,182796.0,52106.0,52106.0,30640.0
AK,25-39,28,169885.0,34411.0,34411.0,27041.0
AK,25-39,29,150226.0,38329.0,38329.0,26248.0
AK,25-39,30,163668.0,20867.0,20867.0,14662.0
AK,25-39,31,150890.0,25738.0,25738.0,17516.0
AK,25-39,32,165752.0,39535.0,39535.0,28726.0
AK,40-54,22,120802.0,37119.0,37119.0,18134.0
AK,40-54,23,121369.0,25248.0,25248.0,9847.0
AK,40-54,24,125773.0,40165.0,40165.0,23144.0
AK,40-54,25,119484.0,29694.0,29694.0,13107.0
AK,40-54,26,122951.0,32519.0,32519.0,15410.0
AK,40-54,27,126016.0,34451.0,34451.0,18021.0
AK,40-54,28,121460.0,26742.0,26742.0,20388.0
AK,40-54,29,120080.0,20715.0,20715.0,15520.0
AK,40-54,30,120751.0,22142.0,22142.0,12065.0
AK,40-54,31,121933.0,17400.0,17400.0,7351.0
AK,40-54,32,127486.0,26846.0,26846.0,19742.0
AK,55-64,22,92079.0,22273.0,22273.0,7946.0
AK,55-64,23,91720.0,14107.0,14107.0,5879.0
AK,55-64,24,89795.0,18625.0,18625.0,6277.0
AK,55-64,25,91084.0,12376.0,12376.0,8394.0
AK,55-64,26,95480.0,13838.0,13838.0,5037.0
AK,55-64,27,90738.0,12227.0,12227.0,4301.0
AK,55-64,28,92296.0,10562.0,10562.0,7146.0
AK,55-64,29,92925.0,10764.0,10764.0,7968.0
AK,55-64,30,95547.0,10483.0,10483.0,6856.0
AK,55-64,31,95555.0,15426.0,15426.0,13913.0
AK,55-64,32,97827.0,10994.0,10994.0,7202.0
AK,65+,22,91370.0,8539.0,8539.0,3453.0
AK,65+,23,90180.0,8053.0,8053.0,2886.0
AK,65+,24,98386.0,20772.0,20772.0,14756.0
AK,65+,25,94770.0,7149.0,7149.0,4107.0
AK,65+,26,91227.0,6991.0,6991.0,5031.0
AK,65+,27,90800.0,7334.0,7334.0,4929.0
AK,65+,28,92133.0,6919.0,6919.0,5242.0
AK,65+,29,96678.0,5088.0,5088.0,2776.0
AK,65+,30,87006.0,7723.0,7723.0,6206.0
AK,65+,31,93765.0,9487.0,9487.0,7100.0
AK,65+,32,84784.0,9887.0,9887.0,7592.0
AZ,18-24,22,374748.0,74673.0,74673.0,52583.0
AZ,18-24,23,556249.0,152954.0,152954.0,46031.0
AZ,18-24,24,492718.0,40662.0,40662.0,1090.0
AZ,18-24,25,424305.0,85899.0,85899.0,51063.0
AZ,18-24,26,675193.0,77636.0,77636.0,33569.0
AZ,18-24,27,373179.0,71405.0,71405.0,35834.0
AZ,18-24,28,416486.0,54164.0,54164.0,33971.0
AZ,18-24,29,676653.0,113480.0,113480.0,69790.0
AZ,18-24,30,441490.0,39602.0,39602.0,13762.0
AZ,18-24,31,514843.0,105285.0,105285.0,101806.0
AZ,18-24,32,575723.0,65150.0,65150.0,57264.0
AZ,25-39,22,1645901.0,529867.0,529867.0,210802.0
AZ,25-39,23,1467348.0,306309.0,306309.0,111391.0
AZ,25-39,24,1481426.0,453643.0,453643.0,261767.0
AZ,25-39,25,1600369.0,358666.0,358666.0,167803.0
AZ,25-39,26,1295684.0,348894.0,348894.0,208768.0
AZ,25-39,27,1484312.0,395819.0,395819.0,182571.0
AZ,25-39,28,1563993.0,293317.0,293317.0,195967.0
AZ,25-39,29,1395491.0,145708.0,145708.0,96969.0
AZ,25-39,30,1559209.0,193731.0,193731.0,108217.0
AZ,25-39,31,1536493.0,339228.0,339228.0,264732.0
AZ,25-39,32,1456860.0,212587.0,212587.0,155922.0
AZ,40-54,22,1289853.0,320466.0,320466.0,135189.0
AZ,40-54,23,1296828.0,243983.0,243983.0,63003.0
AZ,40-54,24,1345744.0,224890.0,224890.0,124129.0
AZ,40-54,25,1329129.0,322414.0,322414.0,121138.0
AZ,40-54,26,1363714.0,326537.0,326537.0,192608.0
AZ,40-54,27,1498714.0,200049.0,200049.0,110473.0
AZ,40-54,28,1316637.0,212843.0,212843.0,138473.0
AZ,40-54,29,1314927.0,156160.0,156160.0,111581.0
AZ,40-54,30,1438807.0,245938.0,245938.0,168679.0
AZ,40-54,31,1318565.0,189353.0,189353.0,135539.0
AZ,40-54,32,1390080.0,186429.0,186429.0,134431.0
AZ,55-64,22,895199.0,242381.0,242381.0,112762.0
AZ,55-64,23,931709.0,182355.0,182355.0,110722.0
AZ,55-64,24,940417.0,179529.0,179529.0,94030.0
AZ,55-64,25,861277.0,179712.0,179712.0,82440.0
AZ,55-64,26,900520.0,131489.0,131489.0,80618.0
AZ,55-64,27,931802.0,157031.0,157031.0,84826.0
AZ,55-64,28,965555.0,73079.0,73079.0,34630.0
AZ,55-64,29,854424.0,101256.0,101256.0,49287.0
AZ,55-64,30,874064.0,71931.0,71931.0,46854.0
AZ,55-64,31,934588.0,101079.0,101079.0,54763.0
AZ,55-64,32,869712.0,67563.0,67563.0,44241.0
AZ,65+,22,1331456.0,148031.0,148031.0,78133.0
AZ,65+,23,1318519.0,146032.0,146032.0,84948.0
AZ,65+,24,1299013.0,148672.0,148672.0,48454.0
AZ,65+,25,1351430.0,116470.0,116470.0,68147.0
AZ,65+,26,1316252.0,101689.0,101689.0,53083.0
AZ,65+,27,1298393.0,149122.0,149122.0,101090.0
AZ,65+,28,1465168.0,135777.0,135777.0,71640.0
AZ,65+,29,1469441.0,129474.0,129474.0,93193.0
AZ,65+,30,1419955.0,132772.0,132772.0,105963.0
AZ,65+,31,1374705.0,82872.0,82872.0,65429.0
AZ,65+,32,1430363.0,158604.0,158604.0,140068.0
AR,18-24,22,199206.0,61684.0,61684.0,49009.0
AR,18-24,23,179186.0,76454.0,76454.0,16937.0
AR,18-24,24,245989.0,77499.0,77499.0,20525.0
AR,18-24,25,108719.0,12308.0,12308.0,5022.0
AR,18-24,26,254211.0,40370.0,40370.0,21031.0
AR,18-24,27,112768.0,28097.0,28097.0,6938.0
AR,18-24,28,214091.0,44972.0,44972.0,0.0
AR,18-24,29,228867.0,29927.0,29927.0,11373.0
AR,18-24,30,159383.0,11493.0,11493.0,1350.0
AR,18-24,31,160316.0,73612.0,73612.0,30239.0
AR,18-24,32,232712.0,51936.0,51936.0,35648.0
AR,25-39,22,535494.0,201910.0,201910.0,81494.0
AR,25-39,23,587600.0,196819.0,196819.0,88232.0
AR,25-39,24,523097.0,211554.0,211554.0,92177.0
AR,25-39,25,671379.0,183107.0,183107.0,73796.0
AR,25-39,26,543589.0,137596.0,137596.0,91377.0
