state,age_grp,wk,total_resp,mild_hes,hes,strong_hes
AL,18-24,22,48510.437000000005,14005.742,14005.742,0.0
AL,18-24,23,26037.317000000003,69122.227,69122.227,6855.908
AL,18-24,24,62232.411,55125.113,55125.113,34779.154
AL,18-24,25,40863.484,24080.74,24080.74,16372.861
AL,18-24,26,58562.292,21946.852,21946.852,3554.708
AL,18-24,27,45757.913,26079.051,26079.051,15604.418
AL,18-24,28,66412.648,85873.897,85873.897,53464.794
AL,18-24,29,42384.058,30651.4,30651.4,21040.461
AL,18-24,30,49269.684,44990.681,44990.681,22307.457
AL,18-24,31,40975.491,24235.168,24235.168,24235.168
AL,18-24,32,48061.536,30630.051,30630.051,19813.058
AL,25-39,22,82043.59,152438.477,152438.477,67554.986
AL,25-39,23,67298.08799999999,73846.582,73846.582,44123.581
AL,25-39,24,57682.84,67351.999,67351.999,28523.395
AL,25-39,25,62388.328,110605.334,110605.334,47247.113
AL,25-39,26,76725.208,77939.973,77939.973,39126.2
AL,25-39,27,67188.317,81055.996,81055.996,35420.795
AL,25-39,28,58542.787000000004,72537.86499999999,72537.86499999999,38681.325
AL,25-39,29,54489.49,69715.071,69715.071,42601.782
AL,25-39,30,59570.780999999995,69424.422,69424.422,42573.372
AL,25-39,31,58822.605,56698.363,56698.363,46771.275
AL,25-39,32,52615.034,58629.94,58629.94,39704.933
AL,40-54,22,47442.225000000006,65664.416,65664.416,28000.162
AL,40-54,23,32893.733,46677.867,46677.867,24939.426
AL,40-54,24,39140.787,77896.916,77896.916,53235.069
AL,40-54,25,53450.530999999995,59453.021,59453.021,27119.444
AL,40-54,26,54423.367,98928.72899999999,98928.72899999999,59034.893
AL,40-54,27,48459.571,83320.36499999999,83320.36499999999,43724.776
AL,40-54,28,37504.916,46166.491,46166.491,20215.828
AL,40-54,29,32675.570000000003,57450.501000000004,57450.501000000004,35734.619
AL,40-54,30,44257.498,69610.038,69610.038,29449.222
AL,40-54,31,44573.448000000004,60119.041,60119.041,29588.625
AL,40-54,32,55146.273,74392.432,74392.432,55014.752
AL,55-64,22,34221.896,55423.466,55423.466,23634.068
AL,55-64,23,23050.542,54036.274999999994,54036.274999999994,29778.766
AL,55-64,24,24844.476,40390.671,40390.671,21275.258
AL,55-64,25,30788.9,33599.411,33599.411,14636.78
AL,55-64,26,16780.021,36473.199,36473.199,23119.541
AL,55-64,27,21671.416,30476.936999999998,30476.936999999998,11035.319
AL,55-64,28,33068.765,25126.716,25126.716,15908.404
AL,55-64,29,7779.495000000001,47106.278,47106.278,20029.214
AL,55-64,30,46266.981999999996,44993.503,44993.503,24003.488
AL,55-64,31,28001.312,33354.04,33354.04,23021.764
AL,55-64,32,22999.708000000002,33095.274999999994,33095.274999999994,21941.19
AL,65+,22,18677.212,49304.854999999996,49304.854999999996,29257.768
AL,65+,23,17262.441,24568.578999999998,24568.578999999998,5049.388
AL,65+,24,22017.443,46064.865000000005,46064.865000000005,21035.2
AL,65+,25,27627.126,32258.747,32258.747,19614.661
AL,65+,26,15550.552,17952.406,17952.406,6373.829
AL,65+,27,8247.117,29419.033000000003,29419.033000000003,15395.781
AL,65+,28,17064.868000000002,41357.643,41357.643,14862.195
AL,65+,29,22436.883,17436.867,17436.867,7924.918
AL,65+,30,46232.024,49573.751000000004,49573.751000000004,27603.918
AL,65+,31,8123.494000000002,45897.628,45897.628,39820.238
AL,65+,32,13710.491000000002,49204.757000000005,49204.757000000005,38903.62
AK,18-24,22,5111.746,5311.352,5311.352,3220.966
AK,18-24,23,5872.167,8323.625,8323.625,4660.913
AK,18-24,24,6062.925,3792.209,3792.209,2184.769
AK,18-24,25,8814.637,5648.507,5648.507,3149.405
AK,18-24,26,6101.55,7274.084,7274.084,2350.443
AK,18-24,27,5318.919,5841.3060000000005,5841.3060000000005,2082.136
AK,18-24,28,7201.429,5305.744,5305.744,5305.744
AK,18-24,29,8664.318,5440.963,5440.963,4233.836
AK,18-24,30,7309.49,4541.246,4541.246,3671.403
AK,18-24,31,10803.644,14138.873,14138.873,11808.276
AK,18-24,32,4757.485,3993.215,3993.215,1799.986
AK,25-39,22,7659.365,10362.422999999999,10362.422999999999,5554.63
AK,25-39,23,5272.2699999999995,8502.728,8502.728,4085.54
AK,25-39,24,6882.242,8811.783,8811.783,4592.512
AK,25-39,25,7377.141,6734.26,6734.26,2079.641
AK,25-39,26,5876.592000000001,8167.620000000001,8167.620000000001,3799.847
AK,25-39,27,6018.155000000001,11112.854,11112.854,6857.297
AK,25-39,28,6395.257,8036.365,8036.365,5639.156
AK,25-39,29,8290.118999999999,9295.069,9295.069,5419.295
AK,25-39,30,6210.463,5014.357,5014.357,3380.286
AK,25-39,31,10801.674,6786.99,6786.99,3963.003
AK,25-39,32,9138.897,14381.484,14381.484,11539.475
AK,40-54,22,2467.157,6100.128,6100.128,3145.245
AK,40-54,23,2089.492,6113.686,6113.686,2945.347
AK,40-54,24,3221.167,6087.686,6087.686,3107.126
AK,40-54,25,1564.484,6007.677,6007.677,2375.022
AK,40-54,26,2248.9210000000003,5517.062,5517.062,2971.721
AK,40-54,27,4037.408,7503.219999999999,7503.219999999999,4450.576
AK,40-54,28,2489.5860000000002,5290.6669999999995,5290.6669999999995,3152.802
AK,40-54,29,3317.3469999999998,4636.705,4636.705,3175.88
AK,40-54,30,841.906,4435.844,4435.844,2338.072
AK,40-54,31,4636.3730000000005,4659.802,4659.802,1864.641
AK,40-54,32,7000.5419999999995,6781.807,6781.807,5102.721
AK,55-64,22,3013.711,4997.7789999999995,4997.7789999999995,1758.818
AK,55-64,23,1612.7910000000002,3940.039,3940.039,2053.068
AK,55-64,24,4693.162,6131.804,6131.804,1912.82
AK,55-64,25,3300.093,3300.665,3300.665,2291.072
AK,55-64,26,3257.84,4604.151,4604.151,1591.157
AK,55-64,27,1382.5819999999999,3518.761,3518.761,1278.04
AK,55-64,28,2995.296,3492.134,3492.134,2286.507
AK,55-64,29,3398.3329999999996,4651.91,4651.91,3433.394
AK,55-64,30,2427.821,3071.362,3071.362,1986.669
AK,55-64,31,3505.712,5198.513,5198.513,4545.134
AK,55-64,32,1928.19,3953.8559999999998,3953.8559999999998,2225.549
AK,65+,22,2229.755,3031.227,3031.227,1371.767
AK,65+,23,1432.028,2704.9660000000003,2704.9660000000003,1286.038
AK,65+,24,4299.958,7640.769,7640.769,5743.121
AK,65+,25,3639.572,2649.849,2649.849,1179.846
AK,65+,26,3324.9359999999997,2264.3869999999997,2264.3869999999997,1579.955
AK,65+,27,2843.6600000000003,2246.663,2246.663,1292.392
AK,65+,28,2371.958,2593.1980000000003,2593.1980000000003,1698.678
AK,65+,29,4103.983,2234.956,2234.956,1077.649
AK,65+,30,2068.5370000000003,3686.873,3686.873,2932.973
AK,65+,31,4042.2439999999997,3718.759,3718.759,2576.98
AK,65+,32,1385.6799999999998,3501.4629999999997,3501.4629999999997,2063.633
AZ,18-24,22,42575.016,35350.702,35350.702,23531.108
AZ,18-24,23,70836.674,57666.056,57666.056,27477.196
AZ,18-24,24,65302.579,18856.216,18856.216,1144.986
AZ,18-24,25,76915.481,54994.634999999995,54994.634999999995,28282.599
AZ,18-24,26,75138.987,42502.1,42502.1,24087.998
AZ,18-24,27,69447.981,36984.394,36984.394,18076.017
AZ,18-24,28,64709.134999999995,35220.61,35220.61,20487.4
AZ,18-24,29,73012.703,58105.434,58105.434,27244.551
AZ,18-24,30,72344.23,36362.628,36362.628,14441.054
AZ,18-24,31,60621.48499999999,42206.859,42206.859,38663.104
AZ,18-24,32,76863.832,36262.490999999995,36262.490999999995,27937.941
AZ,25-39,22,51488.649000000005,92086.17,92086.17,48723.172
AZ,25-39,23,79744.981,68628.813,68628.813,36808.991
AZ,25-39,24,58709.518000000004,108449.118,108449.118,48488.407
AZ,25-39,25,71900.67,84705.111,84705.111,40566.963
AZ,25-39,26,59174.221000000005,74998.718,74998.718,40164.715
AZ,25-39,27,88411.08499999999,104894.64300000001,104894.64300000001,46811.019
AZ,25-39,28,71708.259,76994.102,76994.102,48446.444
AZ,25-39,29,60241.81599999999,41383.592000000004,41383.592000000004,24014.664
AZ,25-39,30,58855.462,49306.539,49306.539,26983.119
AZ,25-39,31,73321.066,80640.817,80640.817,52516.712
AZ,25-39,32,74822.63,51150.685,51150.685,34430.231
AZ,40-54,22,19277.557,54266.61,54266.61,26803.151
AZ,40-54,23,26940.954,42489.024,42489.024,13523.238
AZ,40-54,24,47353.182,40272.326,40272.326,22461.646
AZ,40-54,25,36273.92999999999,62366.058,62366.058,25215.068
AZ,40-54,26,46896.335,70627.959,70627.959,41869.687
AZ,40-54,27,62872.456,40649.103,40649.103,24536.348
AZ,40-54,28,59067.58,77092.286,77092.286,55098.292
AZ,40-54,29,21645.895,32023.430999999997,32023.430999999997,21078.813
AZ,40-54,30,61458.22,55989.004,55989.004,35269.522
AZ,40-54,31,50052.325,42653.164000000004,42653.164000000004,30442.238
AZ,40-54,32,65935.621,40618.981,40618.981,26313.499
AZ,55-64,22,8026.544,52802.296,52802.296,27309.768
AZ,55-64,23,24061.408,45224.652,45224.652,27546.755
AZ,55-64,24,22805.517,45751.243,45751.243,22245.284
AZ,55-64,25,21557.988,41802.547999999995,41802.547999999995,22102.711
AZ,55-64,26,27702.119,33855.721,33855.721,23191.746
AZ,55-64,27,22993.719,38260.748999999996,38260.748999999996,20156.746
AZ,55-64,28,35868.916,27258.029000000002,27258.029000000002,10032.503
AZ,55-64,29,27506.667999999998,31227.358,31227.358,11246.132
AZ,55-64,30,28878.313,25073.685,25073.685,14603.87
AZ,55-64,31,-2545.370999999999,26501.211000000003,26501.211000000003,10398.513
AZ,55-64,32,38781.851,20843.222,20843.222,12582.866
AZ,65+,22,7807.582,35863.689,35863.689,18574.904
AZ,65+,23,19832.061999999998,42811.102,42811.102,28174.123
AZ,65+,24,5232.857999999999,32863.179,32863.179,11797.774
AZ,65+,25,25658.182,33479.941,33479.941,21568.76
AZ,65+,26,8244.919,30941.078999999998,30941.078999999998,20805.645
AZ,65+,27,18976.217,42397.948000000004,42397.948000000004,21944.185
AZ,65+,28,42874.147,37879.325,37879.325,20065.882
AZ,65+,29,28534.951,35532.787,35532.787,23195.351
AZ,65+,30,25877.827999999998,45901.065,45901.065,36120.72
AZ,65+,31,1110.5879999999997,26033.992,26033.992,18243.691
AZ,65+,32,29678.243,41576.255,41576.255,34702.03
AR,18-24,22,21366.071000000004,34233.968,34233.968,25911.01
AR,18-24,23,29643.508,34166.723,34166.723,11888.563
AR,18-24,24,29258.589,30943.875,30943.875,11928.389
AR,18-24,25,25677.015,11098.502,11098.502,3921.676
AR,18-24,26,33792.155,27132.379999999997,27132.379999999997,15395.445
AR,18-24,27,24785.533,17920.259,17920.259,6798.522
AR,18-24,28,35527.142,25344.313,25344.313,0.0
AR,18-24,29,37774.659,22880.778,22880.778,7674.954
AR,18-24,30,45853.587,11448.337,11448.337,1278.411
AR,18-24,31,39599.525,37838.523,37838.523,15027.414
AR,18-24,32,38812.289,38344.493,38344.493,22659.694
AR,25-39,22,31492.761,46931.911,46931.911,22439.095
AR,25-39,23,37379.994,52127.432,52127.432,24913.53
AR,25-39,24,29867.492,48748.667,48748.667,23175.561
AR,25-39,25,30938.9,50054.834,50054.834,18869.875
AR,25-39,26,41797.147,38790.54,38790.54,22912.883
AR,25-39,27,59642.08,85562.23,85562.23,24886.732
AR,25-39,28,44696.381,35577.887,35577.887,20557.366
AR,25-39,29,40191.848,44666.267,44666.267,30402.377
AR,25-39,30,48784.375,39801.452,39801.452,26222.388
AR,25-39,31,29874.313000000002,54953.32,54953.32,31715.602
AR,25-39,32,45310.01500000001,51000.337,51000.337,31120.757
AR,40-54,22,23183.197,32592.904000000002,32592.904000000002,15613.826
AR,40-54,23,24506.708,39890.253,39890.253,19116.093
AR,40-54,24,15083.026,42604.459,42604.459,23387.463
AR,40-54,25,20411.656000000003,32884.056000000004,32884.056000000004,14304.387
AR,40-54,26,35490.988,36787.41,36787.41,21103.728
AR,40-54,27,55946.741,47733.25,47733.25,34782.777
AR,40-54,28,34308.876000000004,34631.584,34631.584,16953.766
AR,40-54,29,22120.115,36039.191999999995,36039.191999999995,23639.874
AR,40-54,30,28481.996000000003,21000.826,21000.826,10655.605
AR,40-54,31,26683.229,31005.849,31005.849,23711.867
AR,40-54,32,15986.984999999999,37031.666,37031.666,18543.733
AR,55-64,22,14175.858000000002,34272.897,34272.897,13340.85
AR,55-64,23,8597.122,21548.61,21548.61,11079.487
AR,55-64,24,5539.909,22570.800000000003,22570.800000000003,12996.976
AR,55-64,25,12531.255,29145.963000000003,29145.963000000003,17375.597
AR,55-64,26,17334.006,23242.286999999997,23242.286999999997,14392.568
AR,55-64,27,12832.389,21281.905,21281.905,14055.918
AR,55-64,28,22529.855000000003,8398.021,8398.021,5874.328
AR,55-64,29,14974.152,23445.686999999998,23445.686999999998,15153.339
AR,55-64,30,15294.195,17949.525999999998,17949.525999999998,9022.206
AR,55-64,31,9864.168,23015.305,23015.305,11486.016
AR,55-64,32,21430.968,23726.239,23726.239,7615.512
AR,65+,22,13382.354,20760.893,20760.893,9020.842
AR,65+,23,15323.033000000001,23526.881,23526.881,10835.136
AR,65+,24,2101.142999999999,31877.224,31877.224,20013.759
AR,65+,25,13894.148000000001,22443.735,22443.735,13126.995
AR,65+,26,3119.509,30952.783000000003,30952.783000000003,16689.646
AR,65+,27,12621.397,18324.836000000003,18324.836000000003,8831.296
AR,65+,28,13405.184,19152.893,19152.893,11383.572
AR,65+,29,9122.511,25383.771,25383.771,14406.858
AR,65+,30,5427.0779999999995,16198.547999999999,16198.547999999999,10864.358
AR,65+,31,8782.305999999999,16717.065,16717.065,12653.867
AR,65+,32,26676.793,20019.742,20019.742,11547.064
CA,18-24,22,-1997.758999999991,202721.59600000002,202721.59600000002,87577.407
CA,18-24,23,146753.925,192370.19900000002,192370.19900000002,93120.319
CA,18-24,24,171578.602,249165.057,249165.057,75881.152
CA,18-24,25,179078.99,178303.368,178303.368,74430.597
CA,18-24,26,145740.74000000002,213682.729,213682.729,69739.321
CA,18-24,27,216546.661,109378.20000000001,109378.20000000001,71560.353
CA,18-24,28,214118.432,108829.763,108829.763,33238.187
CA,18-24,29,203937.435,232482.543,232482.543,71055.571
CA,18-24,30,191285.547,197386.946,197386.946,26478.087
CA,18-24,31,144956.171,130352.10399999999,130352.10399999999,76076.843
CA,18-24,32,127810.40599999999,290795.674,290795.674,123281.961
CA,25-39,22,75963.49100000001,260275.482,260275.482,128637.769
CA,25-39,23,138730.42599999998,220738.146,220738.146,112280.888
CA,25-39,24,157768.79499999998,203242.83299999998,203242.83299999998,107861.524
CA,25-39,25,172604.50999999998,338939.127,338939.127,117089.644
CA,25-39,26,123763.94200000001,203300.082,203300.082,77154.802
CA,25-39,27,208732.42799999999,184628.796,184628.796,97442.398
CA,25-39,28,246433.95500000002,238551.941,238551.941,96699.044
CA,25-39,29,169646.109,171025.382,171025.382,131815.597
CA,25-39,30,166427.01499999998,208860.869,208860.869,116659.66
CA,25-39,31,158163.728,170688.251,170688.251,79513.442
CA,25-39,32,147837.824,136518.968,136518.968,73163.88
CA,40-54,22,35582.37299999999,164840.653,164840.653,58831.169
CA,40-54,23,45691.753,138207.294,138207.294,64826.243
CA,40-54,24,43330.14800000001,193814.131,193814.131,85379.172
CA,40-54,25,30001.425,184989.611,184989.611,92342.064
CA,40-54,26,51395.357,215785.881,215785.881,101602.083
CA,40-54,27,60354.368,200047.959,200047.959,103808.971
CA,40-54,28,30878.999999999996,125103.411,125103.411,40903.479
CA,40-54,29,41943.778,146745.639,146745.639,84365.54
CA,40-54,30,37915.989,93374.011,93374.011,60285.99
CA,40-54,31,51252.04,170654.865,170654.865,80773.376
CA,40-54,32,61527.204,127959.675,127959.675,66479.557
CA,55-64,22,7556.677,90302.319,90302.319,27180.504
CA,55-64,23,17645.104,128804.797,128804.797,81231.509
CA,55-64,24,43732.272000000004,96445.969,96445.969,58281.575
CA,55-64,25,-5176.73,157519.276,157519.276,57062.822
CA,55-64,26,14534.157999999996,109861.054,109861.054,57324.695
CA,55-64,27,-11666.455,100355.976,100355.976,54202.914
CA,55-64,28,18752.163,146049.35,146049.35,95814.529
CA,55-64,29,20982.610999999997,105424.758,105424.758,80234.785
CA,55-64,30,22641.922,70210.161,70210.161,29039.532
CA,55-64,31,-7136.431,46050.56,46050.56,19336.352
CA,55-64,32,5869.869999999999,85452.685,85452.685,34280.78
CA,65+,22,27426.202000000005,247552.242,247552.242,66085.149
CA,65+,23,-9491.49,135524.36800000002,135524.36800000002,83647.085
CA,65+,24,21374.537000000004,215043.31100000002,215043.31100000002,73487.714
CA,65+,25,-9000.964,70991.775,70991.775,31355.675
CA,65+,26,-8845.663,237341.502,237341.502,159535.939
CA,65+,27,-4874.423,120779.262,120779.262,41742.402
CA,65+,28,21753.602,191362.854,191362.854,166369.068
CA,65+,29,-8689.225,99092.707,99092.707,81168.973
CA,65+,30,34155.792,97085.887,97085.887,49587.135
CA,65+,31,-18261.657,47257.043999999994,47257.043999999994,32291.884
CA,65+,32,15758.122000000001,167790.528,167790.528,155504.497
CO,18-24,22,45088.259999999995,51760.668000000005,51760.668000000005,34101.01
CO,18-24,23,63443.696,64504.775,64504.775,43761.413
CO,18-24,24,60154.234,52415.368,52415.368,31610.606
CO,18-24,25,59686.549,59327.578,59327.578,28707.667
CO,18-24,26,60749.993,33234.718,33234.718,7257.65
CO,18-24,27,40358.994000000006,29459.1,29459.1,10384.233
CO,18-24,28,65426.556,15313.173999999999,15313.173999999999,4513.586
CO,18-24,29,42447.837,26543.144,26543.144,13897.51
CO,18-24,30,51024.377,20845.59,20845.59,17511.407
CO,18-24,31,32565.286999999997,28674.557,28674.557,15201.448
CO,18-24,32,49503.257,30903.154000000002,30903.154000000002,24245.273
CO,25-39,22,51969.528000000006,85240.195,85240.195,26168.749
CO,25-39,23,56499.593,65126.990999999995,65126.990999999995,27427.168
CO,25-39,24,66553.132,47958.926999999996,47958.926999999996,25336.07
CO,25-39,25,36044.461,67692.39,67692.39,23209.971
CO,25-39,26,46526.362,59558.168000000005,59558.168000000005,22946.245
CO,25-39,27,42096.726,56569.011,56569.011,29408.584
CO,25-39,28,43684.176,34942.479999999996,34942.479999999996,20117.232
CO,25-39,29,48115.71399999999,50489.528999999995,50489.528999999995,34303.53
CO,25-39,30,58486.233,62931.81,62931.81,40930.663
CO,25-39,31,46136.867,29578.078,29578.078,16640.033
CO,25-39,32,41543.104,61116.27,61116.27,44754.852
CO,40-54,22,31080.518,38524.458,38524.458,18881.076
CO,40-54,23,40584.752,34466.671,34466.671,11201.624
CO,40-54,24,36601.155,32240.73,32240.73,14184.843
CO,40-54,25,42572.736,37344.529,37344.529,16448.346
CO,40-54,26,36149.09,57329.784,57329.784,24344.821
CO,40-54,27,34925.524999999994,36384.278000000006,36384.278000000006,16021.682
CO,40-54,28,41245.231999999996,57382.61,57382.61,20931.72
CO,40-54,29,31279.782,20785.097,20785.097,11711.011
CO,40-54,30,43925.284,39653.766,39653.766,22914.969
CO,40-54,31,46987.839,26696.152000000002,26696.152000000002,13885.551
CO,40-54,32,32682.664000000004,30090.007999999998,30090.007999999998,16387.761
CO,55-64,22,21562.712,28886.244,28886.244,10553.162
CO,55-64,23,17814.617,23648.220999999998,23648.220999999998,11179.103
CO,55-64,24,28939.238,29825.994,29825.994,10576.721
CO,55-64,25,5830.640999999998,27846.877,27846.877,13463.501
CO,55-64,26,19128.623,26093.211,26093.211,10167.963
CO,55-64,27,18255.24,25844.629999999997,25844.629999999997,13574.434
CO,55-64,28,15368.100999999999,18255.752,18255.752,9867.165
CO,55-64,29,17349.422000000002,27198.525999999998,27198.525999999998,21002.191
CO,55-64,30,15013.37,18723.608999999997,18723.608999999997,9996.274
CO,55-64,31,19208.946,15498.608,15498.608,9840.978
CO,55-64,32,15106.805,22026.898,22026.898,14346.656
CO,65+,22,14271.414999999999,24648.824,24648.824,17716.745
CO,65+,23,3115.214,15242.987000000001,15242.987000000001,4240.155
CO,65+,24,26002.994,14935.992999999999,14935.992999999999,7106.392
CO,65+,25,14363.287,17732.353000000003,17732.353000000003,5859.679
