fips,"[0, 5)","[5, 10)","[10, 15)","[15, 20)","[20, 25)","[25, 30)","[30, 35)","[35, 40)","[40, 45)","[45, 50)","[50, 55)","[55, 60)","[60, 65)","[65, 70)","[70, 75)","[75, 120)"
60010,2691.0,2606.0,2544.0,2602.0,1648.0,1443.0,1458.0,1533.0,1537.0,1430.0,1132.0,816.0,595.0,422.0,278.0,295.0
60020,134.0,118.0,143.0,124.0,84.0,57.0,55.0,57.0,72.0,70.0,57.0,45.0,49.0,34.0,19.0,25.0
60030,0.11907635223977377,0.11770745150308903,0.11309641744267729,0.11342063077504998,0.07006610349610043,0.05988940722995731,0.06314955240548281,0.06491471388173418,0.06487869017813722,0.061006142041463284,0.04823573911633855,0.03705037914948036,0.02667555251355392,0.017237342171148615,0.011761739224409661,0.011833786631603595
60040,1.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0
60050,3785.0,3811.0,3591.0,3568.0,2154.0,1825.0,1993.0,2014.0,1991.0,1887.0,1488.0,1193.0,835.0,501.0,356.0,337.0
66010,14289.0,13984.0,15046.0,14407.0,12379.0,10746.0,10346.0,11404.0,11659.0,11072.0,9203.0,7715.0,6361.0,3889.0,3030.0,3828.0
69085,0.08958298535716275,0.08561141733014123,0.0913275058923965,0.07887459866748325,0.04955180669227771,0.056177272980346304,0.07234192602490581,0.09385149304975596,0.10700963198040198,0.09296067405304084,0.07651764007200787,0.048475400404580295,0.02865467772766921,0.012972551639663717,0.008165840803221795,0.007924577324944788
69100,203.0,227.0,257.0,192.0,84.0,115.0,186.0,247.0,277.0,220.0,203.0,147.0,80.0,41.0,17.0,31.0
69110,4349.0,4139.0,4407.0,3835.0,2436.0,2711.0,3429.0,4458.0,5105.0,4482.0,3725.0,2339.0,1389.0,634.0,403.0,379.0
69120,275.0,247.0,257.0,223.0,150.0,201.0,283.0,352.0,384.0,307.0,195.0,126.0,75.0,24.0,20.0,17.0
78010,3785.0,3673.0,3920.0,3988.0,2689.0,2693.0,2676.0,3026.0,3294.0,3414.0,3490.0,3307.0,3557.0,2910.0,1866.0,2313.0
78020,227.0,222.0,246.0,211.0,209.0,289.0,277.0,298.0,297.0,371.0,330.0,380.0,322.0,225.0,127.0,139.0
78030,3488.0,3255.0,3318.0,3364.0,2997.0,2992.0,3190.0,3346.0,3860.0,3945.0,4078.0,3501.0,3492.0,2719.0,1724.0,2365.0
72001,883.0,1073.0,1189.0,1192.0,1290.0,1119.5,1119.5,1065.5,1065.5,1226.0,1226.0,1265.0,1237.0,938.0,938.0,1354.0
72003,1683.0,2229.0,1978.0,2552.0,2689.0,2378.5,2378.5,2403.0,2403.0,2790.5,2790.5,2804.0,2907.0,2010.5,2010.5,2636.0
72005,2409.0,2793.0,3525.0,3754.0,3620.0,3251.5,3251.5,3390.5,3390.5,3450.5,3450.5,3367.0,3610.0,3186.5,3186.5,4530.0
72007,1128.0,1381.0,1827.0,1826.0,1786.0,1635.5,1635.5,1687.5,1687.5,1740.5,1740.5,1852.0,1610.0,1340.5,1340.5,2057.0
72009,1137.0,1468.0,1195.0,1333.0,1727.0,1460.0,1460.0,1310.0,1310.0,1602.5,1602.5,1670.0,1743.0,1276.5,1276.5,1886.0
72011,1136.0,1257.0,1820.0,1850.0,1899.0,1614.5,1614.5,1762.5,1762.5,1951.0,1951.0,1823.0,1693.0,1536.0,1536.0,2162.0
72013,3975.0,4373.0,5174.0,5890.0,6145.0,5241.0,5241.0,5431.5,5431.5,5928.5,5928.5,5239.0,5479.0,4916.0,4916.0,7933.0
72015,875.0,864.0,1587.0,1256.0,1223.0,1114.5,1114.5,1204.0,1204.0,1114.5,1114.5,987.0,1204.0,1000.5,1000.5,1248.0
72017,1264.0,1294.0,1608.0,1680.0,1731.0,1567.5,1567.5,1710.0,1710.0,1553.0,1553.0,1076.0,1559.0,1273.5,1273.5,1879.0
72019,1677.0,1910.0,1817.0,2204.0,2311.0,1982.5,1982.5,1654.0,1654.0,1911.0,1911.0,1741.0,1853.0,1214.0,1214.0,1719.0
72021,8186.0,9364.0,10149.0,11869.0,13099.0,12418.5,12418.5,10955.0,10955.0,11674.5,11674.5,12050.0,10954.0,9391.5,9391.5,18405.0
72023,1957.0,2512.0,3071.0,3253.0,3203.0,2675.0,2675.0,3208.5,3208.5,3383.0,3383.0,2872.0,2938.0,2919.5,2919.5,4827.0
72025,5835.0,7105.0,8298.0,8851.0,9130.0,8241.5,8241.5,8527.0,8527.0,8809.5,8809.5,8615.0,7606.0,6766.5,6766.5,11234.0
72027,1423.0,1694.0,1965.0,2195.0,2317.0,1916.0,1916.0,2077.5,2077.5,2256.5,2256.5,2165.0,2003.0,1802.0,1802.0,2356.0
72029,2368.0,2778.0,3032.0,3243.0,3279.0,2820.5,2820.5,3197.5,3197.5,3330.0,3330.0,2487.0,2930.0,2159.0,2159.0,2977.0
72031,7087.0,8234.0,8963.0,10450.0,11238.0,9611.0,9611.0,9987.0,9987.0,10426.5,10426.5,9804.0,8802.0,8794.0,8794.0,15238.0
72033,1251.0,1726.0,1295.0,1738.0,1755.0,1665.5,1665.5,1435.5,1435.5,1528.5,1528.5,1850.0,1543.0,1220.0,1220.0,2031.0
72035,1950.0,2830.0,2168.0,3041.0,3078.0,2756.0,2756.0,2746.0,2746.0,3037.5,3037.5,3013.0,2852.0,2467.0,2467.0,3585.0
72037,536.0,530.0,805.0,703.0,951.0,707.5,707.5,711.0,711.0,779.0,779.0,517.0,812.0,743.0,743.0,1118.0
72039,911.0,1034.0,960.0,1091.0,1153.0,1059.5,1059.5,933.5,933.5,1117.0,1117.0,1191.0,1241.0,897.0,897.0,1317.0
72041,1981.0,2316.0,2501.0,2798.0,2821.0,2582.0,2582.0,2589.5,2589.5,2803.5,2803.5,2832.0,2679.0,1998.5,1998.5,2468.0
72043,1799.0,2244.0,2735.0,2562.0,2373.0,2440.5,2440.5,2716.5,2716.5,2702.0,2702.0,2741.0,2607.0,2021.0,2021.0,2444.0
72045,955.0,824.0,1581.0,1320.0,1428.0,1336.5,1336.5,1185.0,1185.0,1306.0,1306.0,1443.0,1062.0,956.5,956.5,1358.0
72047,1760.0,2203.0,2106.0,2376.0,2457.0,2234.0,2234.0,2086.0,2086.0,2259.0,2259.0,2181.0,2222.0,1637.5,1637.5,2427.0
72049,56.0,87.0,83.0,55.0,58.0,131.5,131.5,46.5,46.5,81.5,81.5,59.0,110.0,64.0,64.0,159.0
72051,1840.0,2116.0,2830.0,2675.0,2368.0,2096.0,2096.0,2773.5,2773.5,2629.5,2629.5,1915.0,2422.0,1845.0,1845.0,2354.0
72053,1625.0,1710.0,2047.0,2190.0,2363.0,1892.0,1892.0,1947.0,1947.0,2118.0,2118.0,1946.0,1544.0,1778.0,1778.0,3106.0
72054,622.0,671.0,771.0,846.0,899.0,696.5,696.5,868.0,868.0,742.0,742.0,562.0,906.0,610.0,610.0,800.0
72055,877.0,918.0,1063.0,1075.0,1122.0,957.0,957.0,1015.5,1015.5,994.0,994.0,919.0,1146.0,1109.5,1109.5,1511.0
72057,1905.0,2616.0,2529.0,3049.0,3151.0,2912.0,2912.0,2677.0,2677.0,2625.0,2625.0,2715.0,2340.0,2039.5,2039.5,2894.0
72059,929.0,1038.0,1349.0,1320.0,1248.0,1172.5,1172.5,1170.5,1170.5,1164.0,1164.0,1050.0,1421.0,1072.0,1072.0,1495.0
72061,3615.0,4416.0,4379.0,5262.0,5924.0,5607.5,5607.5,5532.0,5532.0,6086.5,6086.5,5950.0,6475.0,4818.0,4818.0,8554.0
72063,2047.0,2684.0,3336.0,3351.0,3247.0,2997.0,2997.0,3585.5,3585.5,3355.0,3355.0,2624.0,2816.0,2047.5,2047.5,2819.0
72065,1677.0,2111.0,2584.0,2658.0,2665.0,2538.5,2538.5,2664.5,2664.5,2819.5,2819.5,2397.0,2692.0,2247.0,2247.0,3067.0
72067,598.0,861.0,811.0,1035.0,955.0,814.5,814.5,998.5,998.5,1039.0,1039.0,961.0,1037.0,1098.5,1098.5,2021.0
72069,2511.0,2916.0,3072.0,3641.0,3517.0,3078.5,3078.5,3394.5,3394.5,3494.0,3494.0,3756.0,3427.0,3161.0,3161.0,4370.0
72071,1771.0,2283.0,2599.0,2833.0,2856.0,2568.0,2568.0,2840.5,2840.5,2952.5,2952.5,2685.0,2750.0,2299.0,2299.0,3323.0
72073,796.0,876.0,1077.0,1043.0,1174.0,988.0,988.0,940.5,940.5,955.0,955.0,824.0,1049.0,704.0,704.0,892.0
72075,2550.0,3050.0,3009.0,3402.0,3467.0,2898.0,2898.0,3042.5,3042.5,3123.5,3123.5,2935.0,2751.0,2257.5,2257.5,3153.0
72077,1944.0,2315.0,2789.0,2790.0,2847.0,2640.5,2640.5,2922.0,2922.0,2543.5,2543.5,2312.0,2070.0,1725.5,1725.5,2398.0
72079,967.0,1266.0,1270.0,1512.0,1589.0,1300.0,1300.0,1349.0,1349.0,1497.5,1497.5,1532.0,1593.0,1502.5,1502.5,2288.0
72081,1266.0,1230.0,1732.0,1717.0,1788.0,1677.0,1677.0,1628.0,1628.0,1744.0,1744.0,1916.0,1622.0,1464.0,1464.0,2154.0
72083,461.0,534.0,511.0,549.0,605.0,527.0,527.0,499.0,499.0,552.5,552.5,542.0,616.0,471.5,471.5,681.0
72085,1703.0,1951.0,2802.0,2554.0,2495.0,2459.5,2459.5,2761.5,2761.5,2442.5,2442.5,2234.0,2492.0,1872.5,1872.5,2465.0
72087,1254.0,1771.0,1679.0,1814.0,1969.0,1793.5,1793.5,1609.5,1609.5,1679.5,1679.5,2053.0,1545.0,1251.5,1251.5,1710.0
72089,830.0,993.0,1192.0,1347.0,1335.0,1066.5,1066.5,1176.0,1176.0,1174.0,1174.0,1121.0,1175.0,1071.0,1071.0,1579.0
72091,1957.0,2131.0,2595.0,2734.0,2744.0,2347.0,2347.0,2391.0,2391.0,2455.5,2455.5,2720.0,2552.0,2201.5,2201.5,3469.0
72093,289.0,277.0,417.0,416.0,443.0,325.5,325.5,419.5,419.5,418.0,418.0,405.0,497.0,343.5,343.5,445.0
72095,526.0,565.0,714.0,683.0,711.0,619.5,619.5,645.5,645.5,746.0,746.0,796.0,735.0,665.0,665.0,941.0
72097,3168.0,3853.0,4029.0,6228.0,8671.0,4372.5,4372.5,3725.0,3725.0,4155.0,4155.0,4451.0,5011.0,4571.0,4571.0,8197.0
72099,1779.0,2002.0,2563.0,2686.0,2588.0,2368.0,2368.0,2406.0,2406.0,2489.5,2489.5,2170.0,2618.0,1818.5,1818.5,2302.0
72101,1536.0,1287.0,2746.0,2331.0,2350.0,2143.5,2143.5,1974.5,1974.5,2119.5,2119.5,2303.0,1722.0,1356.0,1356.0,1858.0
72103,1246.0,1842.0,1836.0,1885.0,1806.0,1762.0,1762.0,1852.0,1852.0,1544.5,1544.5,1527.0,1405.0,1289.5,1289.5,1823.0
72105,1497.0,1493.0,1854.0,1939.0,2048.0,1888.5,1888.5,1664.5,1664.5,1887.5,1887.5,1913.0,1947.0,1436.5,1436.5,2112.0
72107,1161.0,1002.0,1616.0,1591.0,1673.0,1359.5,1359.5,1255.5,1255.5,1475.5,1475.5,1543.0,1305.0,971.0,971.0,1393.0
72109,762.0,970.0,1011.0,1084.0,1185.0,997.5,997.5,943.5,943.5,1213.5,1213.5,1299.0,1243.0,1013.5,1013.5,1444.0
72111,1220.0,1431.0,1404.0,1347.0,1655.0,1393.5,1393.5,1243.5,1243.5,1382.0,1382.0,1387.0,1304.0,971.5,971.5,1255.0
72113,7411.0,8212.0,8626.0,9912.0,10727.0,9095.0,9095.0,8230.5,8230.5,8514.5,8514.5,8903.0,9693.0,8040.0,8040.0,12682.0
72115,1120.0,1006.0,1856.0,1605.0,1648.0,1490.5,1490.5,1527.5,1527.5,1618.0,1618.0,1646.0,1388.0,1331.5,1331.5,1832.0
72117,585.0,696.0,805.0,833.0,819.0,718.5,718.5,929.5,929.5,999.0,999.0,975.0,955.0,943.0,943.0,1421.0
72119,2208.0,3061.0,2795.0,3489.0,3684.0,3193.5,3193.5,3259.5,3259.5,3471.5,3471.5,3607.0,2460.0,2817.5,2817.5,3762.0
72121,1100.0,1162.0,1535.0,1566.0,1580.0,1301.0,1301.0,1423.5,1423.5,1416.5,1416.5,1378.0,1528.0,1379.5,1379.5,2164.0
72123,1429.0,1827.0,1849.0,2222.0,2008.0,1722.5,1722.5,1821.5,1821.5,1788.0,1788.0,1770.0,1717.0,1506.0,1506.0,2135.0
72125,1504.0,1783.0,1752.0,2241.0,2377.0,1769.5,1769.5,1766.0,1766.0,1960.0,1960.0,2188.0,1895.0,2028.0,2028.0,3327.0
72127,15949.0,18467.0,17536.0,22165.0,24055.0,21744.5,21744.5,20500.5,20500.5,22280.5,22280.5,22430.0,22412.0,18378.0,18378.0,35785.0
72129,1678.0,2257.0,2091.0,2574.0,2635.0,2396.0,2396.0,2389.5,2389.5,2662.5,2662.5,2478.0,2714.0,1868.0,1868.0,2814.0
72131,1704.0,2178.0,2266.0,2497.0,2342.0,2095.5,2095.5,2340.5,2340.5,2367.5,2367.5,2473.0,2715.0,2396.0,2396.0,3390.0
72133,1097.0,1254.0,1758.0,1717.0,1629.0,1339.0,1339.0,1680.5,1680.5,1440.5,1440.5,1117.0,1206.0,1020.0,1020.0,1328.0
72135,3359.0,4139.0,5297.0,5620.0,5534.0,4861.0,4861.0,5195.0,5195.0,5479.5,5479.5,4663.0,4212.0,2881.0,2881.0,3748.0
72137,3786.0,4576.0,4776.0,5528.0,5564.0,5296.0,5296.0,5219.0,5219.0,5138.0,5138.0,5270.0,4601.0,4116.5,4116.5,6086.0
72139,2991.0,3683.0,4582.0,4632.0,4742.0,4292.5,4292.5,4542.5,4542.5,4596.5,4596.5,4274.0,4181.0,3431.0,3431.0,4970.0
72141,1361.0,1564.0,1906.0,1962.0,1974.0,1738.0,1738.0,1639.5,1639.5,1933.0,1933.0,2075.0,2069.0,1702.0,1702.0,2466.0
72143,1857.0,2139.0,2765.0,2652.0,2661.0,2455.0,2455.0,2447.0,2447.0,2428.5,2428.5,2374.0,2191.0,1836.5,1836.5,2751.0
